cat_a,cat_c,same_orig,mapping
circuit,city,False,111
circuit,city,True,3
circuit,gaussian,False,95
circuit,gaussian,True,4
circuit,uniform,False,119
circuit,uniform,True,3
city,circuit,False,118
city,circuit,True,3
city,gaussian,False,79
city,gaussian,True,2
city,uniform,False,84
city,uniform,True,3
gaussian,circuit,False,89
gaussian,circuit,True,5
gaussian,city,False,104
gaussian,city,True,7
gaussian,uniform,False,108
gaussian,uniform,True,4
uniform,circuit,False,98
uniform,circuit,True,4
uniform,city,False,96
uniform,city,True,6
uniform,gaussian,False,85
uniform,gaussian,True,3
