cat_a,cat_c,same_orig,mapping,geometric,deepwalk,node2vec,struc2vec,dummy,kernel_edge_hist_gauss,kernel_edge_hist,kernel_random_walk_exp,kernel_random_walk_geo,kernel_vertex_edge_hist_gauss,kernel_vertex_edge_hist,kernel_vertex_vertex_edge_hist
circuit,city,False,0.3333333333333333,0.3063063063063063,0.38738738738738737,0.3783783783783784,0.32432432432432434,0.0,0.0,0.32432432432432434,0.3063063063063063,0.32432432432432434,0.0,0.32432432432432434,0.32432432432432434
circuit,city,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
circuit,gaussian,False,0.3263157894736842,0.5368421052631579,0.3157894736842105,0.29473684210526313,0.3263157894736842,0.0,0.0,0.2,0.15789473684210525,0.15789473684210525,0.0,0.2,0.2
circuit,gaussian,True,0.5,0.5,0.25,0.5,0.75,0.0,0.25,0.5,0.25,0.25,0.25,0.5,0.5
circuit,uniform,False,0.16806722689075632,0.48739495798319327,0.3697478991596639,0.15966386554621848,0.3949579831932773,0.0,0.0,0.15966386554621848,0.15966386554621848,0.15966386554621848,0.0,0.15966386554621848,0.15966386554621848
circuit,uniform,True,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
city,circuit,False,0.3220338983050847,0.3474576271186441,0.4152542372881356,0.2542372881355932,0.3305084745762712,0.0,0.0,0.5084745762711864,0.4915254237288136,0.4915254237288136,0.0,0.5084745762711864,0.5084745762711864
city,circuit,True,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
city,gaussian,False,0.27848101265822783,0.5063291139240507,0.35443037974683544,0.12658227848101267,0.3924050632911392,0.0,0.0,0.17721518987341772,0.11392405063291139,0.11392405063291139,0.0,0.17721518987341772,0.17721518987341772
city,gaussian,True,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5
city,uniform,False,0.11904761904761904,0.5,0.3333333333333333,0.13095238095238096,0.5238095238095238,0.0,0.0,0.20238095238095238,0.14285714285714285,0.14285714285714285,0.0,0.20238095238095238,0.20238095238095238
city,uniform,True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian,circuit,False,0.8202247191011236,1.0,0.2808988764044944,0.5056179775280899,0.39325842696629215,0.0,0.15730337078651685,1.0,1.0,1.0,0.15730337078651685,1.0,1.0
gaussian,circuit,True,0.6,1.0,0.0,0.8,0.6,0.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0
gaussian,city,False,0.8076923076923077,0.9807692307692307,0.34615384615384615,0.5096153846153846,0.3269230769230769,0.0,0.17307692307692307,1.0,0.9230769230769231,0.9903846153846154,0.17307692307692307,1.0,1.0
gaussian,city,True,1.0,1.0,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.0,0.14285714285714285,1.0,0.8571428571428571,1.0,0.14285714285714285,1.0,1.0
gaussian,uniform,False,0.18518518518518517,0.6666666666666666,0.35185185185185186,0.21296296296296297,0.3333333333333333,0.0,0.17592592592592593,1.0,0.0,0.0,0.17592592592592593,1.0,1.0
gaussian,uniform,True,0.25,0.5,0.25,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25,1.0,1.0
uniform,circuit,False,0.9183673469387755,1.0,0.25510204081632654,0.5714285714285714,0.30612244897959184,0.0,0.2653061224489796,1.0,1.0,1.0,0.2653061224489796,1.0,1.0
uniform,circuit,True,1.0,1.0,0.25,0.5,0.25,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0
uniform,city,False,0.9166666666666666,0.9895833333333334,0.40625,0.65625,0.4270833333333333,0.0,0.3645833333333333,1.0,0.9375,1.0,0.3645833333333333,1.0,1.0
uniform,city,True,1.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
uniform,gaussian,False,0.7647058823529411,0.8470588235294118,0.3411764705882353,0.5058823529411764,0.3176470588235294,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0
uniform,gaussian,True,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
