cat_a,cat_c,same_orig,mapping,geometric,deepwalk,node2vec,struc2vec,dummy,kernel_edge_hist_gauss,kernel_edge_hist,kernel_random_walk_exp,kernel_random_walk_geo,kernel_vertex_edge_hist_gauss,kernel_vertex_edge_hist,kernel_vertex_vertex_edge_hist
circuit,city,False,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.2222222222222222
circuit,city,True,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222
circuit,gaussian,False,0.5,0.5,0.0,0.0,0.4166666666666667,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666
circuit,gaussian,True,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,0.25,0.25,0.25,0.6666666666666666,0.25,0.25
circuit,uniform,False,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
circuit,uniform,True,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1111111111111111
city,circuit,False,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.46153846153846156
city,circuit,True,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.0,0.38461538461538464,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.38461538461538464,0.6923076923076923,0.6923076923076923
city,gaussian,False,0.4,0.3,0.6,0.1,0.3,0.0,0.6,0.2,0.0,0.0,0.6,0.2,0.2
city,gaussian,True,0.1,0.5,0.2,0.2,0.3,0.0,0.6,0.3,0.1,0.1,0.6,0.3,0.3
city,uniform,False,0.0,0.2857142857142857,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
city,uniform,True,0.2857142857142857,1.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
gaussian,circuit,False,0.7857142857142857,1.0,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.0,1.0,1.0,0.6428571428571429,1.0,1.0,1.0,1.0
gaussian,circuit,True,0.8571428571428571,1.0,0.42857142857142855,0.5714285714285714,0.21428571428571427,0.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0
gaussian,city,False,0.3,1.0,0.3,0.3,0.5,0.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
gaussian,city,True,0.7,1.0,0.1,0.2,0.3,0.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
gaussian,uniform,False,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
gaussian,uniform,True,0.3333333333333333,0.8333333333333334,0.5,0.3333333333333333,0.5,0.0,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,1.0,1.0
uniform,circuit,False,1.0,1.0,0.0,0.5,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uniform,circuit,True,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uniform,city,False,0.8666666666666667,1.0,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0
uniform,city,True,0.9333333333333333,1.0,0.4666666666666667,0.6,0.4666666666666667,0.0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0
uniform,gaussian,False,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
uniform,gaussian,True,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
