Inst_a,Inst_b,Ctrl_type,Ctrl_param,Distance
berlin52-2,berlin52-2,r,0,-1.0026196310749116
berlin52-2,berlin52-2,r,1,-0.9603153043269406
berlin52-2,berlin52-2,r,2,-0.9319423541665
berlin52-2,berlin52-2,r,3,-0.8741407031932112
berlin52-2,berlin52-2,r,4,-0.8828801570597845
berlin52-2,berlin52-2,r,5,-0.8934840665698139
berlin52-2,berlin52-2,r,6,-0.8740679051059382
berlin52-2,berlin52-2,r,7,-0.7638528794816292
berlin52-2,berlin52-2,r,8,-0.7023307022382698
berlin52-2,berlin52-2,r,9,-0.9387392233848182
berlin52-2,berlin52-2,t,0,-1.0026196310749116
berlin52-2,berlin52-2,t,1,-0.9540658701906958
berlin52-2,berlin52-2,t,2,-0.950758049933138
berlin52-2,berlin52-2,t,3,-0.9403056737793242
berlin52-2,berlin52-2,t,4,-0.9608671330317701
berlin52-2,berlin52-2,t,5,-0.9188867631329732
berlin52-2,berlin52-2,t,6,-0.9217000306487114
berlin52-2,berlin52-2,t,7,-0.9133063626701357
berlin52-2,berlin52-2,t,8,-0.9591734065824946
berlin52-2,berlin52-2,t,9,-0.9509449329216445
berlin52-2,eil51-1,r,1,-0.9180948914242881
berlin52-2,seed0,r,1,-0.9062710668751012
berlin52-2,seed1,r,1,-0.8880258873075219
berlin52-2,seed2,r,1,-0.9186941561572746
berlin52-2,seed3,r,1,-0.9404576009113733
berlin52-2,seed4,r,1,-0.9051372135823398
eil51-1,berlin52-2,r,1,-0.8682929508812675
eil51-1,eil51-1,r,0,-1.0296172491541378
eil51-1,eil51-1,r,1,-0.9752089084622746
eil51-1,eil51-1,r,2,-0.9377844120970612
eil51-1,eil51-1,r,3,-0.8989727800122869
eil51-1,eil51-1,r,4,-0.8075907320453668
eil51-1,eil51-1,r,5,-0.7989829033170585
eil51-1,eil51-1,r,6,-0.8032210068516258
eil51-1,eil51-1,r,7,-0.8312153632033018
eil51-1,eil51-1,r,8,-0.7733404339778892
eil51-1,eil51-1,r,9,-0.8956377417716007
eil51-1,eil51-1,t,0,-1.0296172491541378
eil51-1,eil51-1,t,1,-0.9581997760068014
eil51-1,eil51-1,t,2,-0.9733625052832569
eil51-1,eil51-1,t,3,-0.9026904104047846
eil51-1,eil51-1,t,4,-0.9027071217923136
eil51-1,eil51-1,t,5,-0.9557588503702931
eil51-1,eil51-1,t,6,-0.9681272149034627
eil51-1,eil51-1,t,7,-0.9477768960291897
eil51-1,eil51-1,t,8,-0.9339501034151733
eil51-1,eil51-1,t,9,-0.8981525590496723
eil51-1,seed0,r,1,-0.9003442334595219
eil51-1,seed1,r,1,-0.8696570493411593
eil51-1,seed2,r,1,-0.902023773590542
eil51-1,seed3,r,1,-0.8705228139376722
eil51-1,seed4,r,1,-0.8401006905896042
seed0,berlin52-2,r,1,-0.8705090976185866
seed0,eil51-1,r,1,-0.9331375559282273
seed0,seed0,r,0,-0.9919513537689756
seed0,seed0,r,1,-0.9423264373616207
seed0,seed0,r,2,-0.8679422546629804
seed0,seed0,r,3,-0.8949711006337292
seed0,seed0,r,4,-0.9000967159997332
seed0,seed0,r,5,-0.9108586293183585
seed0,seed0,r,6,-0.9651139432473418
seed0,seed0,r,7,-0.884467882805008
seed0,seed0,r,8,-0.8670663706893897
seed0,seed0,r,9,-0.9308691386590656
seed0,seed0,t,0,-0.9919513537689756
seed0,seed0,t,1,-0.9634179468954317
seed0,seed0,t,2,-0.9279807231452325
seed0,seed0,t,3,-0.9721450395286598
seed0,seed0,t,4,-0.9963411249940007
seed0,seed0,t,5,-0.9782997115281007
seed0,seed0,t,6,-0.931122345276595
seed0,seed0,t,7,-0.9954836146931777
seed0,seed0,t,8,-1.0092616529693978
