inst_a inst_b best mapping geometric deepwalk node2vec struc2vec dummy heuristic_dbl_mst heuristic_far_ins heuristic_near_ins heuristic_near_neigh 
circuit_4_pr299 circuit_4_pr299 11323.764680501901 11323.764680501901 11323.764680501901 22178.96650763812 11323.764680501901 21367.209985177946 24624.469851476337 14215.07597825235 11613.76743173945 12587.519718838957 13606.734361448529 
circuit_4_pr299 circuit_4_pr299_r1_#0 21066.8781826873 29906.941015686905 25466.328980002843 26425.339615103145 27121.603394286394 33471.18341438282 33819.142829915865 23966.816201813413 21447.150575859112 22715.55755595609 23550.960370696295 
circuit_4_pr299 circuit_4_pr299_t1_#0 20960.429991495745 23839.617348830183 26371.29390895196 27298.493751319795 23960.586803958817 25860.622510247318 34145.04006738995 24106.169451982725 21725.710653603037 12909.73043377702 25409.619847605325 
circuit_4_pr299 circuit_4_pr299_r2_#0 20857.912039021357 47775.28052091798 25201.46103963765 33765.39594443738 29130.75920759311 34170.58437489834 34573.64506488186 23869.88615290997 21177.53274581731 22694.71099885659 23590.44584192857 
circuit_4_pr299 circuit_4_pr299_t2_#0 20953.657795558272 35809.166533031355 25846.52068635479 44031.87552448893 38155.68504829302 37083.26063583242 37594.301059829784 24478.395197578553 21163.616600199955 23682.223735421918 24050.543639321135 
circuit_4_pr299 circuit_4_pr299_r3_#0 20854.568636661654 29175.000766122972 31090.61529596874 47151.22407150178 44169.802362400624 45380.25471162546 44589.9460715175 24500.623205461878 21169.21147464566 22896.88053727268 23182.296872557712 
circuit_4_pr299 circuit_4_pr299_t3_#0 21165.94728654953 27973.11731244246 28300.036738814855 44747.86125889495 49899.300039473834 36607.42718474284 33488.98094383015 24710.466499359834 21321.123437770573 22568.668478062227 23709.30887614296 
circuit_4_pr299 circuit_4_pr299_r4_#0 20582.9041402376 32939.33328740101 25217.12410764544 53404.00079408642 55089.778675047935 34879.491776498486 65414.8622245779 24259.688586860164 21125.236300227687 22615.795601580932 23194.238982764182 
circuit_4_pr299 circuit_4_pr299_t4_#0 20802.03157867675 27255.978516778312 26311.118563918648 44879.32193410593 67385.82617695197 42416.97030506602 44693.79833988533 25143.979579859475 21553.82076023971 22963.430676998036 26087.737251408325 
circuit_4_pr299 circuit_4_pr299_r5_#0 20207.972927091276 23944.000008920095 26612.431538343862 51753.69073049894 54246.91685847845 51063.15398657593 40330.71366024479 23140.16725537585 20720.00519654884 22051.88729998706 23149.300492988437 
circuit_4_pr299 circuit_4_pr299_t5_#0 20941.83027732847 26037.43096006028 29897.894885275433 52339.794782911056 42128.206396920956 39227.87075071598 42492.07202575832 24076.94841797309 21227.872586391626 21817.663462340373 28163.62927985092 
circuit_4_pr299 circuit_4_pr299_r6_#0 20260.228900896374 49188.1838383398 29934.277080362423 43481.87047823472 74199.80062589108 48491.61043714568 40212.73619989669 22682.922865521945 20312.73088001807 21214.343669219106 24025.425215504925 
circuit_4_pr299 circuit_4_pr299_t6_#0 20808.596866279895 25932.67584415937 29900.245270559113 39738.551021038475 38213.75078280682 47430.038770577004 38159.65465668063 22799.27591192378 21661.7627241367 21545.336830909207 23712.110207601407 
circuit_4_pr299 circuit_4_pr299_r7_#0 19870.5632910071 32336.358503007465 21765.562876323744 47242.13965842836 36191.905672479996 44303.62918341644 36331.04366017298 21653.44290729879 20045.347437254917 20940.69398718349 22882.094356864032 
circuit_4_pr299 circuit_4_pr299_t7_#0 19811.677359369387 23426.23151729416 23254.912790778497 59045.307034165526 46075.72214592452 49464.22865785431 47912.73642822334 22004.996111061762 20117.118520501528 20634.857833819344 21812.479624647483 
circuit_4_pr299 circuit_4_pr299_r8_#0 18100.6368475399 20214.894021071792 19908.976722262345 32051.244893388703 32600.74772088854 44304.83246242166 32783.540089122806 18836.57702498752 18243.567378494015 18631.492430490358 18878.96489521741 
circuit_4_pr299 circuit_4_pr299_t8_#0 18200.883372160628 21108.12934363335 20127.396451499546 44939.146074171455 30924.237576651616 54729.49673998481 43912.50826798149 19405.943221229147 18315.399519850096 18906.276268705707 19923.430517776735 
circuit_4_pr299 circuit_4_pr299_r9_#0 17652.8460195387 18985.648368973252 24000.257345140126 30787.194839933167 31133.029515378756 30520.49337544338 18469.16361673613 18230.13763969056 17681.65927398011 17883.93839631085 18973.463563683978 
circuit_4_pr299 circuit_4_pr299_t9_#0 17895.862191935546 19206.862857507425 20348.146255019143 34486.34496936205 31467.397428693253 31194.799531047895 31449.355709252563 18855.286666276275 18086.047181189148 18440.204682840085 20164.17397006435 
circuit_24_u724 circuit_24_u724 3590.721047651868 3590.721047651868 3590.721047651868 4918.163848937427 3590.721047651868 6974.960427738806 7935.61606454235 4523.155433320078 3777.267290429399 4106.069396681647 4806.517786467413 
circuit_24_u724 circuit_24_u724_r1_#0 8035.618830670015 10486.708669685233 10486.708669685233 10586.040956261273 8148.121317075195 10617.220204942245 12485.660894479546 9243.358629486545 8221.609648190117 8512.028470141335 9264.447903159244 
circuit_24_u724 circuit_24_u724_t1_#0 7953.96432876067 10470.182086616764 10470.182086616764 10030.611857869655 8072.516321311007 11497.625739297173 12099.28974109054 9050.44506180274 8170.718082435105 8559.233332646341 8683.849679968434 
circuit_24_u724 circuit_24_u724_r2_#0 7783.239241155127 12508.667509778841 9734.07723060916 11876.998340647779 15896.435865770942 12142.190959340729 11674.613223040322 8898.272422259504 7897.889565238701 8063.392272159106 8555.417353346409 
circuit_24_u724 circuit_24_u724_t2_#0 7777.555582081643 9607.280077633171 9839.155445971104 10540.78585672598 11445.059419414025 11427.341131016328 11624.86478472816 8988.060353549803 8190.203210900679 8087.85157239758 9306.355511657013 
circuit_24_u724 circuit_24_u724_r3_#0 7710.513846594742 10796.434657935992 10603.434699410072 15941.651631165587 14857.977623892357 16420.14416022677 15667.356364284544 9046.552287227507 7982.888536514232 7837.883044060685 8860.913756811262 
circuit_24_u724 circuit_24_u724_t3_#0 7701.591595492013 10598.92228584784 9806.220038385754 11701.741636915272 16071.991668888779 16317.604042503366 20899.69311732636 8598.846502076005 8082.660496748566 8509.276417426481 9660.363503817309 
circuit_24_u724 circuit_24_u724_r4_#0 7562.3128757490085 11262.10674281954 14902.539080622877 15194.520474114763 16481.835909813803 16458.753446221996 20349.43407511952 8860.830545289364 7606.5024367786755 8012.453785931355 9232.76930392714 
circuit_24_u724 circuit_24_u724_t4_#0 7780.896070259455 9166.849314523046 9203.508572942535 15550.64171471321 21046.64878348761 16554.500397428143 20779.382354620746 8750.191216174106 7961.733914672965 8150.720080680865 9541.476686907163 
circuit_24_u724 circuit_24_u724_r5_#0 7504.565493331661 14751.415974632035 9557.403248442364 19927.75616110993 16226.302428490511 20510.179131707042 25199.889080885885 8236.0827755499 7552.799988536775 7640.1923206475285 7932.598334410635 
circuit_24_u724 circuit_24_u724_t5_#0 7735.505704664085 10058.384345087328 15274.261656521949 11357.374204628135 16342.674665553846 24946.621042708553 21118.535765367622 8931.514131763799 7860.472772332101 8536.01939010121 8791.127705234148 
circuit_24_u724 circuit_24_u724_r6_#0 7600.4837403437705 14700.572068874682 14700.572068874682 18924.71746229599 20554.922576963214 24863.670840781164 24988.757602236667 8306.031821864133 7688.650170121464 7983.47836028084 8625.919145770607 
circuit_24_u724 circuit_24_u724_t6_#0 7639.024130564854 10001.32897204053 9306.131080214624 20616.455062412275 19964.686146849886 10681.484118778442 20916.763228671254 8756.635228490852 7744.021515573217 8228.936996322745 8250.318550740134 
circuit_24_u724 circuit_24_u724_r7_#0 7524.454838839728 13936.805219773014 13919.175531334691 13716.064212287318 14647.009590208812 19299.587647062173 18930.683044992857 8454.241689358785 7759.327172184835 8041.198178774583 8988.235754468556 
circuit_24_u724 circuit_24_u724_t7_#0 7585.159601983076 13954.527339697122 13696.935955313642 19813.592397427576 19888.10267060838 15096.769178213843 18999.27756623843 8494.503741930444 7946.0953017312895 7945.356858394977 8547.577432644452 
circuit_24_u724 circuit_24_u724_r8_#0 7280.147796822263 18452.135469617995 14525.94663086939 18483.697844151546 18519.603252921406 14114.041555895603 17647.91320747494 8124.480828864702 7587.566179674213 7639.32784093408 8410.588560068176 
circuit_24_u724 circuit_24_u724_t8_#0 7360.9799994837485 8820.149597907475 14450.845322128587 13745.77326132544 14062.306118859295 14021.204008762263 18402.021976122174 8263.586469621794 7650.217743417279 7857.159541320785 8195.137135781219 
circuit_24_u724 circuit_24_u724_r9_#0 7104.523546150239 8450.261976509277 7584.978922148426 12956.083181457943 7880.889550172349 12920.760183093731 12852.912038428276 7268.668629212592 7174.255430113083 7218.491158757006 7962.082528210279 
circuit_24_u724 circuit_24_u724_t9_#0 7139.990515481253 12976.378146968229 8093.753912359619 18223.146721570243 12960.992997545778 13327.668024704586 12942.451832852195 7351.266154106697 7175.4679645581 7369.840817669651 7959.716896006553 
circuit_13_pcb442 circuit_13_pcb442 6562.823104310141 6562.823104310141 6562.823104310141 6562.823104310141 6562.823104310141 12918.803587801895 13752.883744378014 8520.167218741202 7060.355080953784 7170.7624577337265 7182.751591052359 
circuit_13_pcb442 circuit_13_pcb442_r1_#0 9971.323171454307 10231.198390514208 10231.198390514208 10585.436412500809 10554.494150036795 16743.44776004288 16005.395656194176 11290.518965801015 10245.418499018571 10541.576617411361 12825.573549545266 
circuit_13_pcb442 circuit_13_pcb442_t1_#0 9948.292617013512 10070.135143764966 10253.99587241254 10741.385394686735 10328.731967569141 16712.23460184557 15501.587430828578 11673.805186234847 10374.159462123598 10472.981161436184 12419.61337701695 
circuit_13_pcb442 circuit_13_pcb442_r2_#0 9658.344337087403 17582.147365868725 11842.923302066578 17297.370404643803 17092.949828612567 18174.43788440116 16143.278352182055 11569.458416534639 10124.392926016422 10661.167703992634 12344.921245380421 
circuit_13_pcb442 circuit_13_pcb442_t2_#0 9796.831248142827 12826.27923536084 12276.95883884057 15406.084174215594 12978.843100071374 16069.572988614693 16223.454593474175 11352.355944341896 10075.270976625274 10797.878495598101 11730.017089914552 
circuit_13_pcb442 circuit_13_pcb442_r3_#0 9545.539577410245 19392.765821952085 13310.197137394818 16079.681152392362 14690.518978359174 14916.047670188049 21124.93693637502 11108.664206452106 10170.639090919929 10537.324075818433 11228.890519878492 
